country,total_cases,total_deaths,total_recovered,active_cases,total_tests
North America,"1,260,615","73,880","215,304","971,431","1,260,615"
Europe,"1,435,624","139,493","534,726","761,405","1,435,624"
Asia,"547,393","19,351","284,682","243,360","547,393"
South America,"200,569","10,259","69,068","121,242","200,569"
Oceania,"8,388",115,"7,162","1,111","8,388"
Africa,"43,737","1,763","14,704","27,270","43,737"
,721,15,645,61,721
World,"3,497,047","244,876","1,126,291","2,125,880","3,497,047"
USA,"1,160,838","67,448","173,725","919,665","6,931,132"
Spain,"245,567","25,100","146,233","74,234","1,528,833"
Italy,"209,328","28,710","79,914","100,704","2,108,837"
UK,"182,260","28,131",N/A,"153,785","1,129,907"
France,"168,396","24,760","50,562","93,074","1,100,228"
Germany,"164,967","6,812","130,600","27,555","2,547,052"
Russia,"134,687","1,280","16,639","116,768","4,100,000"
Turkey,"124,375","3,336","58,259","62,780","1,111,366"
Brazil,"97,100","6,761","40,937","49,402","339,552"
Iran,"96,448","6,156","77,350","12,942","484,541"
Canada,"56,714","3,566","23,801","29,347","832,222"
Belgium,"49,517","7,765","12,211","29,541","260,996"
Peru,"42,534","1,200","12,434","28,900","355,604"
Netherlands,"40,236","4,987",N/A,"34,999","225,899"
India,"39,980","1,323","10,819","27,838","1,046,450"
Switzerland,"29,817","1,762","24,200","3,855","276,000"
Ecuador,"27,464","1,371","2,132","23,961","73,929"
Saudi Arabia,"25,459",176,"3,765","21,518","339,775"
Portugal,"25,190","1,023","1,671","22,496","426,836"
Mexico,"22,088","2,061","13,447","6,580","91,188"
Sweden,"22,082","2,669","1,005","18,408","119,500"
Ireland,"21,176","1,286","13,386","6,504","169,377"
Pakistan,"19,103",440,"4,817","13,846","203,025"
Chile,"18,435",247,"9,572","8,616","199,400"
Singapore,"18,205",17,"1,347","16,841","143,919"
Israel,"16,193",230,"9,634","6,329","390,022"
Belarus,"15,828",97,"3,117","12,614","195,430"
Austria,"15,597",598,"13,228","1,771","274,355"
Qatar,"14,872",12,"1,534","13,326","101,728"
Japan,"14,571",474,"3,205","10,892","181,527"
UAE,"13,599",119,"2,664","10,816","1,200,000"
Poland,"13,375",664,"3,762","8,949","366,013"
Romania,"12,732",780,"4,547","7,405","190,540"
Ukraine,"11,913",288,"1,548","10,077","129,723"
Indonesia,"10,843",831,"1,665","8,347","107,943"
S. Korea,"10,793",250,"9,183","1,360","630,973"
Denmark,"9,407",475,"6,889","2,043","221,912"
Serbia,"9,362",189,"1,426","7,747","96,637"
Philippines,"9,223",607,"1,214","7,402","115,012"
Bangladesh,"8,790",175,177,"8,438","76,066"
Norway,"7,809",211,32,"7,566","172,586"
Czechia,"7,755",245,"3,471","4,039","257,678"
Dominican Republic,"7,578",326,"1,481","5,771","30,102"
Colombia,"7,285",324,"1,666","5,295","114,602"
Panama,"7,090",197,641,"6,252","31,895"
Australia,"6,799",95,"5,814",890,"630,681"
South Africa,"6,336",123,"2,549","3,664","230,686"
Egypt,"6,193",415,"1,522","4,256","90,000"
Malaysia,"6,176",103,"4,326","1,747","184,213"
Finland,"5,176",220,"3,000","1,956","101,800"
Morocco,"4,729",173,"1,256","3,300","39,367"
Argentina,"4,681",237,"1,320","3,124","63,866"
Kuwait,"4,619",33,"1,703","2,883","179,000"
Algeria,"4,295",459,"1,872","1,964","6,500"
Moldova,"4,052",124,"1,334","2,594","11,763"
Kazakhstan,"3,857",25,995,"2,837","282,862"
Luxembourg,"3,812",92,"3,318",402,"47,460"
Bahrain,"3,284",8,"1,568","1,708","139,354"
Hungary,"2,998",340,629,"2,029","82,010"
Thailand,"2,969",54,"2,739",176,"178,083"
Greece,"2,620",143,"1,374","1,103","78,207"
Oman,"2,568",12,750,"1,806","40,459"
Afghanistan,"2,469",72,331,"2,066","11,068"
Nigeria,"2,388",85,385,"1,918","16,588"
Armenia,"2,386",35,"1,035","1,316","24,177"
Iraq,"2,219",95,"1,473",651,"98,253"
Ghana,"2,169",18,229,"1,922","117,049"
Uzbekistan,"2,127",9,"1,271",847,"242,536"
Croatia,"2,088",77,"1,463",548,"37,557"
Cameroon,"2,077",64,953,"1,060","2,077"
Azerbaijan,"1,894",25,"1,411",458,"152,597"
Bosnia and Herzegovina,"1,839",72,779,988,"32,783"
Iceland,"1,798",10,"1,706",82,"50,002"
Estonia,"1,699",53,256,"1,390","54,464"
Bulgaria,"1,611",72,308,"1,231","47,636"
Cuba,"1,611",66,765,780,"51,506"
Guinea,"1,586",7,405,"1,174","1,586"
North Macedonia,"1,506",82,852,572,"16,997"
New Zealand,"1,487",20,"1,266",201,"150,223"
Bolivia,"1,470",71,159,"1,240","5,791"
Slovenia,"1,439",94,239,"1,106","55,020"
Lithuania,"1,410",46,635,729,"141,678"
Slovakia,"1,408",24,619,765,"96,220"
Ivory Coast,"1,362",15,622,725,"10,508"
Senegal,"1,115",9,368,738,466
Djibouti,"1,112",2,686,424,"13,856"
Hong Kong,"1,040",4,864,172,"154,989"
Honduras,"1,010",76,116,818,"4,669"
Tunisia,"1,009",42,323,644,"24,055"
Latvia,879,16,348,515,"64,245"
Cyprus,864,15,296,553,"62,267"
Kyrgyzstan,795,10,564,221,"51,472"
Albania,789,31,519,239,"8,669"
Andorra,747,44,472,231,"1,673"
Niger,736,35,507,194,"5,271"
Lebanon,733,25,197,511,"37,880"
Costa Rica,733,6,372,355,"13,632"
Diamond Princess,712,13,645,54,712
Sri Lanka,705,7,182,516,"25,206"
Guatemala,688,17,72,599,"7,200"
DRC,674,33,75,566,674
Somalia,671,31,34,606,671
Burkina Faso,652,44,535,73,652
